user_id,Full name,Email,location,age,plan_type,sign_up_date,is_active,churn_date,last_login_date
d14ve9,Teresa Gillespie,Teresa42@gmail.com,Canada,70,Basic,3/12/2025,TRUE,,4/28/2025 10:55
nujjq9,Robin Bailey,Robin7@gmail.com,USA,40,Basic,12/9/2024,TRUE,,4/29/2025 11:15
w7xhf4,Dean ,dean.brown@gmail.com,USA,34,Free,1/27/2025,TRUE,,4/21/2025 16:36
i8e8qk,Derrick Ayala,derrick@gmail.com,Brazil,41,,10/13/2024,TRUE,,4/27/2025 14:22
41evl4,Cheryl Turner,cheryl.turner@gmail.com,Brazil,47,Free,11/27/2024,FALSE,12/16/2024,12/16/2024 0:00
4x13qi,Thomas Rowe,Thomas93@hotmail.com,,49,Free,1/5/2025,TRUE,,4/19/2025 12:51
xjue6i,Walter Garcia,walter.garcia@hotmail.com,UK,54,Free,1/20/2025,TRUE,,4/29/2025 2:18
3v1uzv,Jennifer Ray,jennifer@gmail.com,Brazil,46,Free,1/6/2025,TRUE,,4/17/2025 22:25
p5md3e,Ryan Singleton,ryan@gmail.com,India,39,Free,2/8/2025,TRUE,,4/26/2025 15:16
vm3by4,Olivia Smith,,USA,23,Pro,12/2/2024,FALSE,4/15/2025,4/15/2025 0:00
la17qq,Christopher Patrick,christopher.patrick@gmail.com,Nigeria,50,Pro,12/12/2024,TRUE,,4/28/2025 15:14
f3qw2k,John Andrews,john@otherdomain.com,UK,49,Free,2/17/2025,TRUE,,4/14/2025 8:37
5ivroc, Blankenship,maurice.blankenship@gmail.com,USA,63,Basic,2/27/2025,TRUE,,4/26/2025 15:35
pllgf3,Nathan Matthews,nathan.matthews@otherdomain.com,France,40,Free,12/1/2024,TRUE,,4/28/2025 20:46
2vwmd5,Scott Robertson,scott.robertson@gmail.com,Canada,42,Pro,10/1/2024,TRUE,,4/29/2025 11:40
2h6sgl,Howard Larson,howard@gmail.com,Germany,43,Free,10/6/2024,TRUE,,4/29/2025 7:11
er6luu,Tonya Martinez,tonya@gmail.com,India,50,Basic,12/13/2024,TRUE,,4/27/2025 10:56
664l90,Joseph Mendez,Joseph67@gmail.com,USA,56,Free,4/29/2025,TRUE,,4/29/2025 0:00
7ib94s,Christina Bush,Christina33@gmail.com,USA,30,Free,11/10/2024,TRUE,,4/14/2025 5:47
fvf9bp,Michele Barr,michele@gmail.com,Canada,51,Free,2/13/2025,TRUE,,4/12/2025 21:08
3bbt9m,Brittney Bond,Brittney84@gmail.com,,29,Free,3/15/2025,TRUE,,4/26/2025 11:11
xj93dr,David Wells,David12@gmail.com,USA,61,Basic,10/2/2024,TRUE,,4/25/2025 21:15
ntbz3m,Debbie Morrow,debbie.morrow@gmail.com,India,43,Basic,10/31/2024,TRUE,,4/27/2025 10:06
0imjyj,Tracy Frost,tracy@gmail.com,Nigeria,28,Pro,12/2/2024,FALSE,12/25/2024,12/25/2024 0:00
ypoovc,Lauren Edwards,lauren@gmail.com,Australia,30,Basic,12/3/2024,TRUE,,4/26/2025 0:42
xal1lx,Jennifer Ross,jennifer@otherdomain.com,Brazil,52,Basic,12/29/2024,TRUE,,4/29/2025 8:22
70n9em,Kathleen Miller,Kathleen99@gmail.com,USA,19,Pro,11/13/2024,TRUE,,4/30/2025 0:00
vth4oq,Cheryl Wilson,cheryl@gmail.com,Australia,24,Basic,3/23/2025,TRUE,,4/28/2025 7:35
drqfvf,David Pacheco,david.pacheco@gmail.com,France,21,Basic,1/7/2025,TRUE,,4/27/2025 15:17
7ikp7s,Lisa Smith,lisa@yahoomail.com,Canada,59,Basic,11/7/2024,TRUE,,4/26/2025 1:15
